t	y1	y2
0	0	1
0.001	0.0009995	0.999
0.002	0.001998	0.998
0.003	0.0029955	0.997
0.004	0.003992	0.996
0.005	0.0049875	0.995
0.006	0.005982	0.994
0.007	0.0069755	0.993
0.008	0.007968	0.992
0.009	0.0089595	0.991
0.01	0.00995	0.99
0.011	0.0109395	0.989
0.012	0.011928	0.988
0.013	0.0129155	0.987
0.014	0.013902	0.986
0.015	0.0148875	0.985001
0.016	0.015872	0.984001
0.017	0.0168555	0.983001
0.018	0.017838	0.982001
0.019	0.0188195	0.981001
0.02	0.0198	0.980001
0.021	0.0207795	0.979002
0.022	0.021758	0.978002
0.023	0.0227355	0.977002
0.024	0.023712	0.976002
0.025	0.0246875	0.975003
0.026	0.025662	0.974003
0.027	0.0266355	0.973003
0.028	0.027608	0.972004
0.029	0.0285795	0.971004
0.03	0.02955	0.970004
0.031	0.0305195	0.969005
0.032	0.031488	0.968005
0.033	0.0324555	0.967006
0.034	0.0334221	0.966007
0.035	0.0343876	0.965007
0.036	0.0353521	0.964008
0.037	0.0363156	0.963008
0.038	0.0372781	0.962009
0.039	0.0382396	0.96101
0.04	0.0392001	0.960011
0.041	0.0401596	0.959011
0.042	0.0411181	0.958012
0.043	0.0420756	0.957013
0.044	0.0430322	0.956014
0.045	0.0439877	0.955015
0.046	0.0449422	0.954016
0.047	0.0458957	0.953017
0.048	0.0468482	0.952018
0.049	0.0477997	0.95102
0.05	0.0487503	0.950021
0.051	0.0496998	0.949022
0.052	0.0506483	0.948023
0.053	0.0515958	0.947025
0.054	0.0525424	0.946026
0.055	0.0534879	0.945028
0.056	0.0544324	0.944029
0.057	0.0553759	0.943031
0.058	0.0563185	0.942032
0.059	0.05726	0.941034
0.06	0.0582005	0.940036
0.061	0.0591401	0.939038
0.062	0.0600786	0.93804
0.063	0.0610162	0.937042
0.064	0.0619527	0.936044
0.065	0.0628882	0.935046
0.066	0.0638228	0.934048
0.067	0.0647563	0.93305
0.068	0.0656889	0.932052
0.069	0.0666204	0.931055
0.07	0.067551	0.930057
0.071	0.0684806	0.92906
0.072	0.0694091	0.928062
0.073	0.0703367	0.927065
0.074	0.0712632	0.926067
0.075	0.0721888	0.92507
0.076	0.0731134	0.924073
0.077	0.074037	0.923076
0.078	0.0749595	0.922079
0.079	0.0758811	0.921082
0.08	0.0768017	0.920085
0.081	0.0777213	0.919088
0.082	0.0786399	0.918092
0.083	0.0795575	0.917095
0.084	0.0804741	0.916099
0.085	0.0813897	0.915102
0.086	0.0823043	0.914106
0.087	0.0832179	0.913109
0.088	0.0841305	0.912113
0.089	0.0850421	0.911117
0.09	0.0859527	0.910121
0.091	0.0868624	0.909125
0.092	0.087771	0.908129
0.093	0.0886786	0.907134
0.094	0.0895852	0.906138
0.095	0.0904909	0.905142
0.096	0.0913955	0.904147
0.097	0.0922992	0.903152
0.098	0.0932018	0.902156
0.099	0.0941035	0.901161
0.1	0.0950042	0.900166
0.101	0.0959038	0.899171
0.102	0.0968025	0.898176
0.103	0.0977002	0.897181
0.104	0.0985969	0.896187
0.105	0.0994926	0.895192
0.106	0.100387	0.894198
0.107	0.101281	0.893203
0.108	0.102174	0.892209
0.109	0.103065	0.891215
0.11	0.103956	0.890221
0.111	0.104846	0.889227
0.112	0.105735	0.888233
0.113	0.106622	0.887239
0.114	0.107509	0.886246
0.115	0.108395	0.885252
0.116	0.10928	0.884259
0.117	0.110163	0.883266
0.118	0.111046	0.882273
0.119	0.111928	0.88128
0.12	0.112809	0.880287
0.121	0.113688	0.879294
0.122	0.114567	0.878301
0.123	0.115445	0.877309
0.124	0.116322	0.876316
0.125	0.117198	0.875324
0.126	0.118072	0.874332
0.127	0.118946	0.87334
0.128	0.119819	0.872348
0.129	0.120691	0.871356
0.13	0.121562	0.870364
0.131	0.122432	0.869373
0.132	0.123301	0.868381
0.133	0.124168	0.86739
0.134	0.125035	0.866399
0.135	0.125901	0.865408
0.136	0.126766	0.864417
0.137	0.12763	0.863426
0.138	0.128493	0.862435
0.139	0.129355	0.861445
0.14	0.130216	0.860454
0.141	0.131076	0.859464
0.142	0.131935	0.858474
0.143	0.132793	0.857484
0.144	0.13365	0.856494
0.145	0.134506	0.855505
0.146	0.135361	0.854515
0.147	0.136215	0.853526
0.148	0.137068	0.852536
0.149	0.13792	0.851547
0.15	0.138771	0.850558
0.151	0.139621	0.84957
0.152	0.14047	0.848581
0.153	0.141318	0.847592
0.154	0.142165	0.846604
0.155	0.143011	0.845616
0.156	0.143857	0.844628
0.157	0.144701	0.84364
0.158	0.145544	0.842652
0.159	0.146386	0.841664
0.16	0.147227	0.840677
0.161	0.148067	0.83969
0.162	0.148907	0.838703
0.163	0.149745	0.837716
0.164	0.150582	0.836729
0.165	0.151418	0.835742
0.166	0.152253	0.834756
0.167	0.153088	0.833769
0.168	0.153921	0.832783
0.169	0.154753	0.831797
0.17	0.155585	0.830811
0.171	0.156415	0.829826
0.172	0.157244	0.82884
0.173	0.158073	0.827855
0.174	0.1589	0.82687
0.175	0.159726	0.825884
0.176	0.160552	0.8249
0.177	0.161376	0.823915
0.178	0.1622	0.82293
0.179	0.163022	0.821946
0.18	0.163843	0.820962
0.181	0.164664	0.819978
0.182	0.165483	0.818994
0.183	0.166302	0.818011
0.184	0.167119	0.817027
0.185	0.167936	0.816044
0.186	0.168751	0.815061
0.187	0.169566	0.814078
0.188	0.17038	0.813095
0.189	0.171192	0.812112
0.19	0.172004	0.81113
0.191	0.172815	0.810148
0.192	0.173624	0.809166
0.193	0.174433	0.808184
0.194	0.175241	0.807202
0.195	0.176047	0.806221
0.196	0.176853	0.80524
0.197	0.177658	0.804259
0.198	0.178462	0.803278
0.199	0.179264	0.802297
0.2	0.180066	0.801317
0.201	0.180867	0.800336
0.202	0.181667	0.799356
0.203	0.182466	0.798376
0.204	0.183264	0.797396
0.205	0.18406	0.796417
0.206	0.184856	0.795438
0.207	0.185651	0.794458
0.208	0.186445	0.793479
0.209	0.187238	0.792501
0.21	0.18803	0.791522
0.211	0.188821	0.790544
0.212	0.189611	0.789566
0.213	0.1904	0.788588
0.214	0.191189	0.78761
0.215	0.191976	0.786632
0.216	0.192762	0.785655
0.217	0.193547	0.784678
0.218	0.194331	0.783701
0.219	0.195114	0.782724
0.22	0.195897	0.781748
0.221	0.196678	0.780772
0.222	0.197458	0.779796
0.223	0.198237	0.77882
0.224	0.199016	0.777844
0.225	0.199793	0.776869
0.226	0.20057	0.775893
0.227	0.201345	0.774918
0.228	0.202119	0.773944
0.229	0.202893	0.772969
0.23	0.203665	0.771995
0.231	0.204437	0.77102
0.232	0.205207	0.770046
0.233	0.205977	0.769073
0.234	0.206745	0.768099
0.235	0.207513	0.767126
0.236	0.20828	0.766153
0.237	0.209045	0.76518
0.238	0.20981	0.764208
0.239	0.210574	0.763235
0.24	0.211337	0.762263
0.241	0.212098	0.761291
0.242	0.212859	0.760319
0.243	0.213619	0.759348
0.244	0.214378	0.758377
0.245	0.215136	0.757406
0.246	0.215893	0.756435
0.247	0.216649	0.755464
0.248	0.217404	0.754494
0.249	0.218158	0.753524
0.25	0.218911	0.752554
0.251	0.219663	0.751585
0.252	0.220414	0.750615
0.253	0.221164	0.749646
0.254	0.221913	0.748677
0.255	0.222661	0.747709
0.256	0.223409	0.74674
0.257	0.224155	0.745772
0.258	0.2249	0.744804
0.259	0.225644	0.743836
0.26	0.226388	0.742869
0.261	0.22713	0.741902
0.262	0.227872	0.740935
0.263	0.228612	0.739968
0.264	0.229351	0.739002
